AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2B-22-F5,1837,,,1837,F,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M1,1852,,,1852,M,2B,,,2B,,,,,,,,,,,,,,,,,
2B-22-M2,86,,,86,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M3,87,,,87,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M4,1854,,,1854,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M5,1855,,,1855,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M6,1878,,,1878,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M7,1880,,,1880,M,2B,,2B,,,,,,,,,,,,,,,,,,
2B-22-M8,1881,,,1881,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M9,90,,,90,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M10,1832,,,1832,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M11,1886,1636,,1886 / 1636,M,2B,,,2B,,2B,2B,,,,,,,,,,,,,,
2B-22-M12,1884,,,1884,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M13,1885,,,1885,M,2B,,2B,2B,2B,,,,,,,,,,,,,,,,
2B-22-M14,1865,,,1865,M,2B,,,,,,,,,,,,,,,,,,,,
2B-22-M15,939,,,939,M,,,2B,2B,,2B,,,,,,,,,,,,,,,
2B-22-M16,940,,,940,M,,,2B,2B,2B,,,,,,,,,,,,,,,,
2B-23-F1,481,,,481,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F2,458,,,458,F,,,,2B,,2B,,,,,,,,,,,,,,,
2B-23-F3,459,,,459,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F4,484,,,484,F,,,,2B,2B,2B,2B,2B,,,,,,,,,,,,,
2B-23-F5,465,,,465,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F6,466,,,466,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F7,493,,,493,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F8,1003,,,1003,F,,,,2B,,2B,,,,,,,,,,,,,,,
2B-23-F9,471,,,471,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F10,803,,,803,F,,,,2B,,,,,,,,,,,,,,,,,
2B-23-F11,1254,,,1254,F,,,,,,2A,,,,,,,,,,,,,,,
2B-23-M1,457,,,457,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M2,482,,,482,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M3,483,,,483,M,,,,2B,2B,2B,,,,,,,,,,,,,,,
2B-23-M4,460,,,460,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M5,461,,,461,M,,,,2B,2B,,,,,,,,,,,,,,,,
2B-23-M6,486,,,486,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M7,487,,,487,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M8,488,,,488,M,,,,2B,,2B,,,,,,,,,,,,,,,
2B-23-M9,467,,,467,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M10,490,,,490,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M11,491,,,491,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M12,469,,,469,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M13,492,,,492,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M14,1001,,,1001,M,,,,2B,,2B,,2B,,,,,,,,,,,,,
2B-23-M15,1002,,,1002,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M16,1004,,,1004,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M17,2B-Red C,,,2B-Red C,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M18,472,,,472,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M19,473,,,473,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M20,804,,,,M,,,,,2B,,,,,,,,,,,,,,,,
2B-23-M21,1005,,,1005,M,,,,2B,2B,,,,,,,,,,,,,,,,
2B-23-M22,497,,,497,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M24,474,,,474,M,,,,2B,,,,,,,,,,,,,,,,,
2B-23-M25,509,,,,M,,,,,2B,,,,,,,,,,,,,,,,
2B-23-M26,475,,,475,M,,,,2B,,,,,Originally given duplicate 2B-23-M17,,,,,,,,,,,,
2B-24-F1,873,,,873,F,,,,,,2B,,2B,,,,,,,,,,,,,
2B-24-F2,862,,,862,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F3,867,,,867,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F4,843,,,843,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F5,844,,,844,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F6,871,,,871,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F7,1264,,,1264,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-F8,846,,,846,F,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M1,858,,,858,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M2,837,,,837,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M3,838,,,838,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M4,839,,,839,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M5,870,,,870,M,,,,,,2B,2B,,,,,,,,,,,,,,
2B-24-M6,869,,,869,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M7,840,,,840,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M8,841,,,841,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-M9,842,,,842,M,,,,,,2B,2B,,,,,,,,,,,,,,
2B-24-M10,845,,,845,M,,,,,,2B,,,,,,,,,,,,,,,
2B-24-U1,2B-Blue O,,,2B-Blue O,U,,,,,,2B,,,,,,,,,,,,,,,
2B-24-U2,2B-Blue I,,,2B-Blue I,U,,,,,,2B,,,,,,,,,,,,,,,
2B-25-F1,602,,,602,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-F2,605,,,605,F,,,,,,,,2B/2A,Switched between 2B and 2A,,,,,,,,,,,,
2B-25-F3,611,612,,611 / 612,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-F4,613,,,613,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-F5,1428,,,1428,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-F6,615,,,615,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-F7,616,,,616,F,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M1,601,,,601,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M2,603,,,603,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M3,604,,,604,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M4,606,,,606,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M5,607,,,607,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M6,608,,,608,M,,,,,,,,2B,,,,,,,,,,,,,
2B-25-M7,609,,,609,M,,,,,,,,2B,,,,,,,,,,,,,
